,input,output
0,Ich habe nichts zum Übersetzen bekommen.,Ik heff nix to n Översetten kriegen.
1,Wie geht es dir?,Wo geiht di dat?
2,Ich habe dich lieb,Ik heff di leef
3,So machen wir das!,So doon wi dat!
4,Wie geht es dir?,Wo geiht di dat?
5,Herzlich Willkommen!,Hartlich Willkamen!
6,Herzlichen Glückwunsch,Hartlich Glückwunsch
7,Ich habe Hunger.,Ik heff Hunger.
8,Guten Tag.,Goden Dag.
9,Ich mag dich,Ik mag di
10,Alles klar!,Allens klaar!
11,Ich bin müde.,Ik bün mööd.
12,Liebe Grüße,Liebe Grüß
13,Guten Abend,Gooten Avend
14,Bis bald,Bit bald
15,Viele Grüße,Völ Grööt
16,Bleib gesund!,Bliev gesund!
17,Alles Gute zum Geburtstag.,Allens Gode to n Geboortsdag.
18,Ich liebe dich,Ik lehr di
19,Vielen Dank,Velen Dank
20,Guten Morgen,Godenmorgen
21,Liebe Leute,Liebe Lüüd
22,Herzlichen Glückwunsch zum Geburtstag!,Hartlich Glückwunsch to n Geboortsdag!
23,machen wir,schöölen wi
24,bis bald,bet bald
25,Viel Spaß,Veel Spaaß
26,Guten Morgen,Godenmorgen
27,So ist das,So is dat
28,Guten Tag,Gooten Dag
29,"Was muss, das muss","Wat mutt, dat mutt"
30,Gute Nacht,Gode Nacht
31,Ich bin,Ik bün
32,Ich heiße,Ik heet
33,Mit freundlichen Grüßen,Mitfrüenden Grüßen
34,Schönes Wochenende!,Schön Wekenenn!
35,Guten Appetit,Gooten Aptiet
36,Ich habe,Ik heff
37,Guten Abend,Gooten Avend
38,Mein Junge,Mien Jung
39,Mir geht es gut.,Mi geiht dat goot.
40,Bleibt gesund.,Blievt gesund.
41,Alles gut,Allens goot
42,Sehr schön,Smöögsch
43,mach es gut,möök dat goot
44,Auf Wiedersehen,Op Weddersehn
45,Mach es gut,Maak dat goot
46,Ab nach Hause,Af na Huus
47,Herzlichen Glückwunsch,Hartlich Glückwunsch
48,Bis morgen,Betmorgen
49,Mir geht es gut,Mi geiht dat goot
50,gute Nacht,gode Nacht
51,Ich auch,Ik ok
52,"Hallo, wie geht es dir?","Hallo, wo geiht di dat?"
53,Bis dann,Bit denn
54,Wie geht es euch?,Wo geiht dat jo?
55,Bleibt gesund,Bliev gesund
56,Das ist richtig.,Dat is richtig.
57,Schönes Wochenende,Schöön Wekenenn
58,Schönen Abend,Schönenavend
59,Lass es dir schmecken,Laat di dat smecken
60,Mach das,Maak dat
61,Machen wir,Maaken wi
62,Mach ich,Maak ik
63,alles klar,allens klaar
64,Alles Gute,All Gode
65,Schlaf gut,Slaap goot
66,Ich freue mich,Ik frei mi
67,Du auch,Du ok
68,Gute Besserung,Goot Verbetern
69,Das machen wir,Dat maakt wi
70,Ein bisschen,En beten
71,Halt die Ohren steif,Holl de Ohren steed
72,Mein Mädchen,Mien Deern
73,Das freut mich,Dat freut mi dat
74,Beste Grüße,Best Grööt
75,ein bisschen,beten
76,Machen wir so!,Maakt wi so!
77,Frohes neues Jahr!,Frohes nich Jahr!
78,Was machst du?,Wat deist du?
79,Da hast du recht,Dor hest du recht
80,So sieht das aus.,So sütt dat ut.
81,Herzliche Grüße,Hartlich Grüß
82,Frohe Weihnachten,Froh Wiehnachten
83,Das sag ich dir,Dat segg ik di
84,Fröhliche Weihnachten,Fröh Wiehnachten
85,Das ist gut,Dat is goot
86,Hast du gut gemacht,Hest du goot maakt
87,Ich rege mich nicht auf,Ik regeer mi nich op
88,Frohe Ostern,Frohööstern
89,Plattdüütsch? Kann ik nu ok!,Plattdeutsch? Kann ich nun auch!

