,input
4,Ich habe nichts zum Übersetzen bekommen.
69,Wie geht es dir?
122,Ich habe dich lieb
282,So machen wir das!
326,Wie geht es dir?
422,Herzlich Willkommen!
450,Herzlichen Glückwunsch
575,Ich habe Hunger.
775,Guten Tag.
799,Ich mag dich
912,Alles klar!
1500,Ich bin müde.
1586,Liebe Grüße
2039,Guten Abend
2064,Bis bald
2066,Viele Grüße
2137,Bleib gesund!
2331,Alles Gute zum Geburtstag.
2358,Ich liebe dich
2415,Vielen Dank
2459,Guten Morgen
2482,Liebe Leute
2603,Herzlichen Glückwunsch zum Geburtstag!
2607,machen wir
2760,bis bald
3160,Viel Spaß
3286,Guten Morgen
3352,So ist das
3514,Guten Tag
3587,"Was muss, das muss"
4135,Gute Nacht
4250,Ich bin
4347,Ich heiße
4350,Mit freundlichen Grüßen
4510,Schönes Wochenende!
4547,Guten Appetit
4681,Ich habe
4757,Guten Abend
4937,Mein Junge
5094,Mir geht es gut.
5226,Bleibt gesund.
5649,Alles gut
5670,Sehr schön
5942,mach es gut
6098,Auf Wiedersehen
6437,Mach es gut
6479,Ab nach Hause
6501,Herzlichen Glückwunsch
6704,Bis morgen
6912,Mir geht es gut
6917,gute Nacht
7141,Ich auch
7390,"Hallo, wie geht es dir?"
8525,Bis dann
8549,Wie geht es euch?
8825,Bleibt gesund
9136,Das ist richtig.
10772,Schönes Wochenende
10859,Schönen Abend
11009,Lass es dir schmecken
11095,Mach das
11128,Machen wir
11129,Mach ich
12148,alles klar
13132,Alles Gute
13567,Schlaf gut
14497,Ich freue mich
14564,Du auch
16063,Gute Besserung
16254,Das machen wir
16810,Ein bisschen
17336,Halt die Ohren steif
18011,Mein Mädchen
18206,Das freut mich
19367,Beste Grüße
20092,ein bisschen
20220,Machen wir so!
20504,Frohes neues Jahr!
21243,Was machst du?
21953,Da hast du recht
22271,So sieht das aus.
23795,Herzliche Grüße
26478,Frohe Weihnachten
31233,Das sag ich dir
35648,Fröhliche Weihnachten
41797,Das ist gut
43454,Hast du gut gemacht
103449,Ich rege mich nicht auf
168256,Frohe Ostern
