,deu,nds
0,Lass uns etwas versuchen!,Laat uns wat versöken!
1,Ich muss schlafen gehen.,Ik mutt slapen gahn.
2,Was ist das?,Wat is dat?
3,"Das Passwort ist ""Muiriel"".","Dat Passwoord is ""Muiriel""."
4,Ich werde bald zurück sein.,Ik will bald trügg wesen.
5,Das war ein böses Kaninchen.,Dat weer en leeg Kniepen.
6,Ich war in den Bergen.,Ik weer in de Bargen.
7,Ich war in den Bergen.,Ik weer in ’e Bargen.
8,Das wird 30 € kosten.,Dat köst 30 Euro.
9,Ich verdiene 100 Euro pro Tag.,Ik verdeen 100 Euro an ’n Dag.
10,Ich verdiene 100 Euro am Tag.,Ik verdeen 100 Euro an ’n Dag.
11,Manchmal kann er ein seltsamer Junge sein.,Männigmaal kann he en snaakschen Jung wesen.
12,Ich vermisse dich.,Ik miss di.
13,Du solltest schlafen.,Du schusst man slapen.
14,Ich kann so ein Leben nicht leben.,Ik kann so ’n Leven nich leven.
15,"Nein, ich bin es nicht, du bist es!","Nee, ik bün dat nich, du büst dat!"
16,Das war mein Satz!,Dat weer mien Satz!
17,Er tritt mich!,He peddt mi!!
18,Dann haben wir ein Problem...,Denn hebbt wi en Probleem...
19,"Oh, da ist ein Schmetterling!","Oh, dar is en Botterlker!"
20,Beeil dich!,Maak to!
21,Mach hin!,Maak to!
22,Wenn ich so sein könnte...,Wenn ik so wesen kunn...
23,Das kommt auf den Zusammenhang an.,Dat hängt vun ’n Kuntext af.
24,"Wenn ich groß bin, will ich ein König sein.","Wenn ik groot bün, will ik en König wesen."
25,Ich werde ihn erschießen.,Ik warr em doodscheten.
26,"Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben.","Ik heff mi ümmer fraagt, woans dat is, wenn een Broder un Süstern hett."
27,"Es liegt daran, dass du ein Mädchen bist.","Dat liggt dar an, dat du en Deern büst."
28,Das ist immer so gewesen.,Dat is ümmer so wesen.
29,Warum fragst du?,Worüm fraagst du?
30,Wie lange bist du geblieben?,Wo lang büst du bleven?
31,Das macht neugierig.,Dat maakt neeschierig.
32,"Ich wusste nicht, woher es kam.","Ik wüss nich, wo dat her keem."
33,Ich möchte es nicht.,Ik will dat nich.
34,"Sie fragt, wie das möglich ist.","Se fraagt, wo dat mööglich is."
35,Ich muss ins Bett gehen.,Ik mutt na Bedd gahn.
36,Ich werde dich heute nichts mehr fragen.,Ik fraag di vondaag nix mehr.
37,Nächste Woche wird es vielleicht Frost geben.,Tokamen Week schall dat villicht Frost geven.
38,Das war nicht meine Absicht.,Dat weer nich mien Afsicht.
39,"Ich weiß nicht, was du meinst.","Ik weet nich, wat du meenst."
40,"Es gibt viele Wörter, die ich nicht verstehe.","Dat gifft veel Wöör, de ik nich verstah."
41,"Ich hätte nicht gedacht, dass ich eines Tages bei Wikipedia ""Viagra"" nachschauen würde.","Ik harr nich dacht, dat ik mal „Viagra“ in ’e Wikipedia nakieken schölen."
42,Niemand wird's erfahren.,Dat schall nüms weten.
43,Das scheint mir interessant!,Dat dücht mi intressant!
44,Was hast du geantwortet?,Wat hest du antert?
45,"Nein, er ist nicht mein neuer Freund.","Nee, he is nich mien nee’en Fründ."
46,"Ich werde also Sudoku spielen, anstatt dich weiter zu stören.",Ik speel Sudoku un stöör di nich mehr.
47,Ich mag dich nicht mehr.,Ik mag di nich mehr.
48,Warum kommst du uns nicht besuchen?,Worüm kummst du uns nich besöken?
49,"Ich weiß nicht mehr, was ich tun soll.","Ik weet nich mäer, wat ik doon schall."
50,"Ich weiß nicht mehr, was ich tun soll.","Ik weet nich mehr, wat ik doon schall."
51,"Ich wollte nicht, dass das passiert.","Ik woll nich, dat dat passeert."
52,Ich kann es auch nicht erklären.,Ik kann dat ok nich verklaren.
53,"Es zeigt nur, dass du kein Roboter bist.","Dat wiest bloot, dat du keen Roboter büst."
54,"Was denkst du, was ich gerade gemacht habe?","Wat denkst du, wat ik jüst maakt heff?"
55,Ausländer machen mich neugierig.,Butenlanners maakt mi neeschierig.
56,Warum bist du um diese Uhrzeit noch wach?,Worüm büst du üm düsse Tied noch waak?
57,Du bist nicht schnell genug.,Du büst nich gau noog.
58,Morgen wird er auf dem Mond landen.,Morgen schall he op ’n Maand lannen.
59,Ich spreche kein Japanisch.,Ik snack keen Japaansch.
60,Niemand versteht mich.,Keeneen versteiht mi.
61,"Ich habe gelernt, ohne sie zu leben.","Ik heff lehrt, ahn ehr to leven."
62,"Das würde zu lange dauern, dir zu erklären, warum das nicht funktionieren wird.","Dat deed to lang duren, di to verklaren, worüm as dat nich gahn deed."
63,"Ich bin so blöd... ich versuche, dir Dinge zu erklären, die ich selbst nicht verstehe.","Ik bün so dumm... Ik versöök di Saken to verklaren, de ik sülvs nich verstah."
64,Das ist nicht möglich!,Dat kann nich angahn!
65,Das kann nicht sein!,Dat kann nich angahn!
66,Willst du etwas zum Trinken?,Wullt du wat to drinken?
67,Das fängt nicht vor acht Uhr dreißig an.,Dat fangt nich vör halvig negen an.
68,Ein Japaner würde so etwas nie tun.,En Japaner deed sowat nich doon.
69,Der Roggen wurde Arme-Leute-Getreide genannt.,’N Rogg hebbt se Arme-Lüüd-Koorn nöömt.
70,Lege das Kartenspiel auf den Eichentisch.,Legg dat Kootenspeel op ’n Ekendisch.
71,"Wenn man nicht isst, stirbt man.","Wenn een nich itt, denn blifft een doot."
72,"Wie schreibt man ""pretty""?","Woans warrt ""pretty"" schrieven?"
73,Wieso gehen wir nicht heim?,Worüm gaht wi nich nahuus?
74,"Es tut mir leid, ich kann nicht lange bleiben.","Dat deit mi leed, ik kann nich lang blieven."
